dataset,dataset_key,scenario,docs,query_mode,query_input,n,any_hit@10,all_support_hit@10,supporting_title_recall@10,vs_question_all_support_hit@10_delta,vs_question_all_support_hit@10_ci_low,vs_question_all_support_hit@10_ci_high,vs_question_supporting_title_recall@10_delta,vs_question_supporting_title_recall@10_ci_low,vs_question_supporting_title_recall@10_ci_high,vs_rewrite_all_support_hit@10_delta,vs_rewrite_all_support_hit@10_ci_low,vs_rewrite_all_support_hit@10_ci_high,vs_rewrite_supporting_title_recall@10_delta,vs_rewrite_supporting_title_recall@10_ci_low,vs_rewrite_supporting_title_recall@10_ci_high,retrieval_file
HotpotQA,hotpotqa,random_100000,100000,question_only,Question only,500,0.98,0.696,0.838,,,,,,,,,,,,,
HotpotQA,hotpotqa,random_100000,100000,single_rewritten_query,Single rewritten query,500,0.968,0.596,0.782,,,,,,,,,,,,,
HotpotQA,hotpotqa,random_100000,100000,question_plus_hypothetical,Question + hypothetical passage,500,0.978,0.834,0.906,0.138,0.1,0.178,,,,,,,,,,
HotpotQA,hotpotqa,no_gold_title_100000,99999,question_only,Question only,500,0.98,0.696,0.838,,,,,,,,,,,,,local-artifacts\corpus_scale_audit\retrieval\ircot_hotpotqa_test500_no_gold_title_100000_question_only_top10_retrieval.jsonl
HotpotQA,hotpotqa,no_gold_title_100000,99999,single_rewritten_query,Single rewritten query,500,0.968,0.596,0.782,,,,,,,,,,,,,local-artifacts\corpus_scale_audit\retrieval\ircot_hotpotqa_test500_no_gold_title_100000_single_rewritten_query_top10_retrieval.jsonl
HotpotQA,hotpotqa,no_gold_title_100000,99999,question_plus_hypothetical,Question + hypothetical passage,500,0.978,0.834,0.906,0.138,0.1,0.178,0.068,0.047,0.089,0.238,0.194,0.28,0.124,0.099,0.148,local-artifacts\corpus_scale_audit\retrieval\ircot_hotpotqa_test500_no_gold_title_100000_question_plus_hypothetical_top10_retrieval.jsonl
HotpotQA,hotpotqa,bge_hard_50000,50000,question_only,Question only,500,0.98,0.696,0.838,,,,,,,,,,,,,local-artifacts\corpus_scale_audit\retrieval\ircot_hotpotqa_test500_bge_hard_50000_question_only_top10_retrieval.jsonl
HotpotQA,hotpotqa,bge_hard_50000,50000,single_rewritten_query,Single rewritten query,500,0.97,0.608,0.789,,,,,,,,,,,,,local-artifacts\corpus_scale_audit\retrieval\ircot_hotpotqa_test500_bge_hard_50000_single_rewritten_query_top10_retrieval.jsonl
HotpotQA,hotpotqa,bge_hard_50000,50000,question_plus_hypothetical,Question + hypothetical passage,500,0.98,0.842,0.911,0.146,0.108,0.186,0.073,0.052,0.094,0.234,0.192,0.276,0.122,0.097,0.146,local-artifacts\corpus_scale_audit\retrieval\ircot_hotpotqa_test500_bge_hard_50000_question_plus_hypothetical_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,random_100000,100000,question_only,Question only,500,1.0,0.418,0.7105,,,,,,,,,,,,,
2WikiMultihopQA,2wiki,random_100000,100000,single_rewritten_query,Single rewritten query,500,0.994,0.36,0.662,,,,,,,,,,,,,
2WikiMultihopQA,2wiki,random_100000,100000,question_plus_hypothetical,Question + hypothetical passage,500,0.998,0.65,0.844,0.232,0.19,0.276,,,,,,,,,,
2WikiMultihopQA,2wiki,no_gold_title_100000,99827,question_only,Question only,500,1.0,0.418,0.7105,,,,,,,,,,,,,local-artifacts\corpus_scale_audit\retrieval\ircot_2wiki_test500_no_gold_title_100000_question_only_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,no_gold_title_100000,99827,single_rewritten_query,Single rewritten query,500,0.994,0.366,0.665,,,,,,,,,,,,,local-artifacts\corpus_scale_audit\retrieval\ircot_2wiki_test500_no_gold_title_100000_single_rewritten_query_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,no_gold_title_100000,99827,question_plus_hypothetical,Question + hypothetical passage,500,0.998,0.652,0.8445,0.234,0.192,0.278,0.134,0.1115,0.1565,0.286,0.242,0.33,0.1795,0.156,0.203,local-artifacts\corpus_scale_audit\retrieval\ircot_2wiki_test500_no_gold_title_100000_question_plus_hypothetical_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,bge_hard_50000,50000,question_only,Question only,500,1.0,0.418,0.7105,,,,,,,,,,,,,local-artifacts\corpus_scale_audit\retrieval\ircot_2wiki_test500_bge_hard_50000_question_only_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,bge_hard_50000,50000,single_rewritten_query,Single rewritten query,500,0.996,0.374,0.67,,,,,,,,,,,,,local-artifacts\corpus_scale_audit\retrieval\ircot_2wiki_test500_bge_hard_50000_single_rewritten_query_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,bge_hard_50000,50000,question_plus_hypothetical,Question + hypothetical passage,500,0.998,0.658,0.848,0.24,0.198,0.284,0.1375,0.1155,0.16,0.284,0.24,0.328,0.178,0.154,0.2015,local-artifacts\corpus_scale_audit\retrieval\ircot_2wiki_test500_bge_hard_50000_question_plus_hypothetical_top10_retrieval.jsonl
