dataset,dataset_key,encoder,pooling,corpus_size,query_mode,query_input,n,any_hit@10,all_support_hit@10,supporting_title_recall@10,vs_question_all_support_hit@10_delta,vs_question_all_support_hit@10_ci_low,vs_question_all_support_hit@10_ci_high,vs_question_supporting_title_recall@10_delta,vs_question_supporting_title_recall@10_ci_low,vs_question_supporting_title_recall@10_ci_high,vs_rewrite_all_support_hit@10_delta,vs_rewrite_all_support_hit@10_ci_low,vs_rewrite_all_support_hit@10_ci_high,vs_rewrite_supporting_title_recall@10_delta,vs_rewrite_supporting_title_recall@10_ci_low,vs_rewrite_supporting_title_recall@10_ci_high,corpus_file,retrieval_file
HotpotQA,hotpotqa,BAAI/bge-base-en-v1.5,cls,local,question_only,Question only,500,0.994,0.882,0.938,,,,,,,,,,,,,local-artifacts\datasets\ircot_hotpotqa_test500\corpus.jsonl,local-artifacts\results\ircot_hotpotqa_test500_bge_base_question_only_top10_retrieval.jsonl
HotpotQA,hotpotqa,BAAI/bge-base-en-v1.5,cls,local,single_rewritten_query,Single rewritten query,500,0.992,0.834,0.913,,,,,,,,,,,,,local-artifacts\datasets\ircot_hotpotqa_test500\corpus.jsonl,local-artifacts\results\ircot_hotpotqa_test500_bge_base_single_rewritten_query_top10_retrieval.jsonl
HotpotQA,hotpotqa,BAAI/bge-base-en-v1.5,cls,local,question_plus_hypothetical,Question + hypothetical passage,500,0.994,0.92,0.957,0.038,0.01,0.066,0.019,0.005,0.034,0.086,0.056,0.116,0.044,0.028,0.059,local-artifacts\datasets\ircot_hotpotqa_test500\corpus.jsonl,local-artifacts\results\ircot_hotpotqa_test500_bge_base_question_plus_hypothetical_top10_retrieval.jsonl
HotpotQA,hotpotqa,BAAI/bge-base-en-v1.5,cls,50000,question_only,Question only,500,0.982,0.748,0.865,,,,,,,,,,,,,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_50000.jsonl,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_50000_question_only_top10_retrieval.jsonl
HotpotQA,hotpotqa,BAAI/bge-base-en-v1.5,cls,50000,single_rewritten_query,Single rewritten query,500,0.972,0.652,0.812,,,,,,,,,,,,,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_50000.jsonl,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_50000_single_rewritten_query_top10_retrieval.jsonl
HotpotQA,hotpotqa,BAAI/bge-base-en-v1.5,cls,50000,question_plus_hypothetical,Question + hypothetical passage,500,0.986,0.856,0.921,0.108,0.068,0.146,0.056,0.035,0.077,0.204,0.162,0.244,0.109,0.086,0.132,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_50000.jsonl,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_50000_question_plus_hypothetical_top10_retrieval.jsonl
HotpotQA,hotpotqa,BAAI/bge-base-en-v1.5,cls,100000,question_only,Question only,500,0.98,0.696,0.838,,,,,,,,,,,,,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_100000.jsonl,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_100000_question_only_top10_retrieval.jsonl
HotpotQA,hotpotqa,BAAI/bge-base-en-v1.5,cls,100000,single_rewritten_query,Single rewritten query,500,0.968,0.596,0.782,,,,,,,,,,,,,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_100000.jsonl,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_100000_single_rewritten_query_top10_retrieval.jsonl
HotpotQA,hotpotqa,BAAI/bge-base-en-v1.5,cls,100000,question_plus_hypothetical,Question + hypothetical passage,500,0.978,0.834,0.906,0.138,0.1,0.178,0.068,0.047,0.089,0.238,0.194,0.28,0.124,0.099,0.148,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_100000.jsonl,local-artifacts\corpus_scale_stress\ircot_hotpotqa_test500_corpus_scale_100000_question_plus_hypothetical_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,BAAI/bge-base-en-v1.5,cls,local,question_only,Question only,500,0.998,0.51,0.7655,,,,,,,,,,,,,local-artifacts\datasets\ircot_2wikimultihopqa_test500\corpus.jsonl,local-artifacts\results\ircot_2wiki_test500_bge_base_question_only_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,BAAI/bge-base-en-v1.5,cls,local,single_rewritten_query,Single rewritten query,500,1.0,0.472,0.738,,,,,,,,,,,,,local-artifacts\datasets\ircot_2wikimultihopqa_test500\corpus.jsonl,local-artifacts\results\ircot_2wiki_test500_bge_base_single_rewritten_query_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,BAAI/bge-base-en-v1.5,cls,local,question_plus_hypothetical,Question + hypothetical passage,500,1.0,0.78,0.913,0.27,0.23,0.31,0.1475,0.129,0.1675,0.308,0.268,0.352,0.175,0.1545,0.196,local-artifacts\datasets\ircot_2wikimultihopqa_test500\corpus.jsonl,local-artifacts\results\ircot_2wiki_test500_bge_base_question_plus_hypothetical_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,BAAI/bge-base-en-v1.5,cls,50000,question_only,Question only,500,1.0,0.446,0.727,,,,,,,,,,,,,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_50000.jsonl,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_50000_question_only_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,BAAI/bge-base-en-v1.5,cls,50000,single_rewritten_query,Single rewritten query,500,0.996,0.404,0.69,,,,,,,,,,,,,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_50000.jsonl,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_50000_single_rewritten_query_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,BAAI/bge-base-en-v1.5,cls,50000,question_plus_hypothetical,Question + hypothetical passage,500,0.998,0.69,0.8655,0.244,0.204,0.284,0.1385,0.1175,0.1595,0.286,0.244,0.328,0.1755,0.1545,0.198,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_50000.jsonl,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_50000_question_plus_hypothetical_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,BAAI/bge-base-en-v1.5,cls,100000,question_only,Question only,500,1.0,0.418,0.7105,,,,,,,,,,,,,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_100000.jsonl,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_100000_question_only_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,BAAI/bge-base-en-v1.5,cls,100000,single_rewritten_query,Single rewritten query,500,0.994,0.36,0.662,,,,,,,,,,,,,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_100000.jsonl,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_100000_single_rewritten_query_top10_retrieval.jsonl
2WikiMultihopQA,2wiki,BAAI/bge-base-en-v1.5,cls,100000,question_plus_hypothetical,Question + hypothetical passage,500,0.998,0.65,0.844,0.232,0.19,0.276,0.1335,0.111,0.156,0.29,0.246,0.334,0.182,0.1585,0.2055,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_100000.jsonl,local-artifacts\corpus_scale_stress\ircot_2wiki_test500_corpus_scale_100000_question_plus_hypothetical_top10_retrieval.jsonl
