method,bucket,n,em,f1,mean_support_recall
BM25 + Dense Hybrid,full,374,0.7272727272727273,0.8616044160830257,1.0
BM25 + Dense Hybrid,partial,121,0.39669421487603307,0.4676702085792995,0.5
BM25 + Dense Hybrid,none,5,0.0,0.0,0.0
BM25 RAG,full,366,0.726775956284153,0.8546291368012678,1.0
BM25 RAG,partial,127,0.36220472440944884,0.46154663359387765,0.5
BM25 RAG,none,7,0.0,0.05714285714285715,0.0
Evidence-guided Iterative Retrieval,full,377,0.7214854111405835,0.8610784072985663,1.0
Evidence-guided Iterative Retrieval,partial,116,0.39655172413793105,0.4623289545703339,0.5
Evidence-guided Iterative Retrieval,none,7,0.0,0.0,0.0
HyDE-style RAG,full,434,0.7396313364055299,0.8719694476030881,1.0
HyDE-style RAG,partial,60,0.35,0.4471957671957672,0.5
HyDE-style RAG,none,6,0.0,0.0,0.0
Multi-query RAG,full,315,0.7142857142857143,0.8456563630373154,1.0
Multi-query RAG,partial,178,0.37640449438202245,0.4720726526906302,0.5
Multi-query RAG,none,7,0.14285714285714285,0.14285714285714285,0.0
One-step Dense RAG,full,315,0.707936507936508,0.8495414726367106,1.0
One-step Dense RAG,partial,178,0.4044943820224719,0.5076531770351995,0.5
One-step Dense RAG,none,7,0.2857142857142857,0.2857142857142857,0.0
Question + Single-query Reformulation RAG,full,314,0.7133757961783439,0.8611093877813624,1.0
Question + Single-query Reformulation RAG,partial,175,0.3657142857142857,0.4573348239062525,0.5
Question + Single-query Reformulation RAG,none,11,0.18181818181818182,0.18181818181818182,0.0
Single-query Reformulation RAG,full,309,0.7216828478964401,0.859549520957288,1.0
Single-query Reformulation RAG,partial,181,0.4088397790055249,0.49657307088246316,0.5
Single-query Reformulation RAG,none,10,0.1,0.1,0.0
All retrieval-only methods,full,2804,0.7225392296718973,0.8587988885421124,1.0
All retrieval-only methods,partial,1136,0.3855633802816901,0.4753265318406163,0.5
All retrieval-only methods,none,60,0.1,0.10666666666666667,0.0
