dataset,family,method,n,title_any_hit_at10,title_all_hit_at10,title_recall_at10,paragraph_any_hit_at10,paragraph_all_hit_at10,paragraph_recall_at10,record_any_hit_at10,record_all_hit_at10,record_recall_at10,title_minus_paragraph_all,title_all_not_paragraph_all,paragraph_all_not_title_all,title_paragraph_all_agreement,paragraph_all_given_title_all,mean_gold_supporting_paragraphs,mean_gold_supporting_records,missing_support_annotation,retrieval_file
HotpotQA,Main,Dense,500,0.986,0.63,0.808,0.986,0.63,0.808,0.986,0.63,0.808,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\results\ircot_hotpotqa_test500_top10_retrieval.jsonl
HotpotQA,Main,Multi-query,500,0.986,0.63,0.808,0.986,0.63,0.808,0.986,0.63,0.808,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\results\ircot_hotpotqa_test500_multiquery_top10_decay050_retrieval.jsonl
HotpotQA,Main,BM25,500,0.986,0.732,0.859,0.986,0.732,0.859,0.986,0.732,0.859,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\results\ircot_hotpotqa_test500_bm25_top10_retrieval.jsonl
HotpotQA,Main,Hybrid,500,0.99,0.748,0.869,0.99,0.748,0.869,0.99,0.746,0.868,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\results\ircot_hotpotqa_test500_hybrid_top10_retrieval.jsonl
HotpotQA,Main,Rule-based iterative,500,0.986,0.754,0.87,0.986,0.754,0.87,0.986,0.754,0.87,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\results\ircot_hotpotqa_test500_iterative_top10_retrieval.jsonl
HotpotQA,Main,Direct rewrite,500,0.98,0.618,0.799,0.98,0.618,0.799,0.98,0.618,0.799,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\results\ircot_hotpotqa_test500_single_query_reformulation_top10_retrieval.jsonl
HotpotQA,Main,Question + rewrite,500,0.978,0.628,0.803,0.978,0.628,0.803,0.978,0.628,0.803,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\results\ircot_hotpotqa_test500_question_plus_single_query_reformulation_top10_retrieval.jsonl
HotpotQA,Main,Hypothetical-only,500,0.988,0.848,0.918,0.988,0.848,0.918,0.988,0.848,0.918,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\results\ircot_hotpotqa_test500_hyde_hypothetical_only_top10_retrieval.jsonl
HotpotQA,Main,HyDE,500,0.988,0.868,0.928,0.988,0.868,0.928,0.988,0.868,0.928,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\results\ircot_hotpotqa_test500_hyde_top10_retrieval.jsonl
HotpotQA,Equal-budget,Keyword/entity,500,0.99,0.924,0.957,0.99,0.924,0.957,0.99,0.924,0.957,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\equal_budget_query_diagnostic\retrieval\ircot_hotpotqa_test500_equal_budget_bge_base_keyword_expansion_top10_retrieval.jsonl
HotpotQA,Equal-budget,Direct rewrite,500,0.986,0.88,0.933,0.986,0.88,0.933,0.986,0.88,0.933,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\equal_budget_query_diagnostic\retrieval\ircot_hotpotqa_test500_equal_budget_bge_base_direct_rewrite_top10_retrieval.jsonl
HotpotQA,Equal-budget,Decomposition,500,0.99,0.874,0.932,0.99,0.874,0.932,0.99,0.874,0.932,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\equal_budget_query_diagnostic\retrieval\ircot_hotpotqa_test500_equal_budget_bge_base_question_decomposition_top10_retrieval.jsonl
HotpotQA,Equal-budget,Document-like,500,0.994,0.926,0.96,0.994,0.926,0.96,0.994,0.926,0.96,0.0,0,0,1.0,1.0,2.0,2.0,0,local-artifacts\equal_budget_query_diagnostic\retrieval\ircot_hotpotqa_test500_equal_budget_bge_base_document_like_passage_top10_retrieval.jsonl
2WikiMultihopQA,Main,Dense,500,0.984,0.358,0.6695,0.984,0.358,0.6695,0.984,0.358,0.6695,0.0,0,0,1.0,1.0,2.42,2.42,0,local-artifacts\results\ircot_2wiki_test500_top10_retrieval.jsonl
2WikiMultihopQA,Main,BM25,500,0.998,0.432,0.725,0.998,0.432,0.725,0.998,0.432,0.725,0.0,0,0,1.0,1.0,2.42,2.42,0,local-artifacts\results\ircot_2wiki_test500_bm25_top10_retrieval.jsonl
2WikiMultihopQA,Main,Hybrid,500,0.998,0.448,0.733,0.998,0.448,0.733,0.998,0.446,0.732,0.0,0,0,1.0,1.0,2.42,2.42,0,local-artifacts\results\ircot_2wiki_test500_hybrid_top10_retrieval.jsonl
2WikiMultihopQA,Main,Hypothetical-only,500,0.994,0.664,0.853,0.994,0.664,0.853,0.994,0.664,0.853,0.0,0,0,1.0,1.0,2.42,2.42,0,local-artifacts\results\ircot_2wiki_test500_hyde_hypothetical_only_top10_retrieval.jsonl
2WikiMultihopQA,Main,HyDE,500,0.994,0.668,0.8575,0.994,0.668,0.8575,0.994,0.666,0.8565,0.0,0,0,1.0,1.0,2.42,2.42,0,local-artifacts\results\ircot_2wiki_test500_hyde_top10_retrieval.jsonl
2WikiMultihopQA,Equal-budget,Keyword/entity,500,0.992,0.676,0.841,0.992,0.676,0.841,0.992,0.674,0.84,0.0,0,0,1.0,1.0,2.42,2.42,0,local-artifacts\equal_budget_query_diagnostic\retrieval\ircot_2wiki_test500_equal_budget_bge_base_keyword_expansion_top10_retrieval.jsonl
